Rank,Name,Platform,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Sales NA,Sales PAL,Sales JP,Sales Other,Sales Global,Release Date,Last Update,Genre
18312,Cy Girls,PS2,Konami,Konami Computer Entertainment Japan,,,,,0.02m,0.01m,,0.00m,0.04m,23rd Mar 04,,Action
18313,The MoviesRead the review,PC,Lionhead Studios,Lionhead Studios,8.5,8.2,,,0.01m,0.03m,,0.00m,0.04m,08th Nov 05,,Simulation
18314,The Sum of All Fears,GBA,Ubisoft,Ubisoft,,,,,0.03m,0.01m,,0.00m,0.04m,19th Nov 02,,Action
18315,Da Capo I & II Plus Situation Portable,PSP,Kadokawa Shoten,Kadokawa Shoten,,,,,,,0.04m,,0.04m,28th Oct 10,,Adventure
18316,Supreme Commander: Forged Alliance,PC,THQ,Gas Powered Games,,8.1,,,0.01m,0.02m,,0.00m,0.04m,06th Nov 07,,Strategy
18317,Monster Boy and the Cursed KingdomRead the review,NS,FDG Entertainment,Game Atelier,8.0,8.0,9.5,,0.03m,,,0.00m,0.04m,06th Nov 18,17th Dec 18,Action-Adventure
18318,Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,DS,D3 Publisher,Bisty,,,,,,,0.04m,,0.04m,03rd Jun 10,,Misc
18319,Bubble Bobble Double Shot,DS,Ignition Entertainment,Dreams,,,,,0.03m,0.00m,,0.00m,0.04m,03rd Mar 08,,Puzzle
18320,Halo: Combat Evolved,PC,Microsoft Game Studios,Gearbox Software,,8.6,,,0.02m,0.02m,,0.00m,0.04m,30th Sep 03,,Shooter
18321,Minority Report: Everybody Runs,GBA,Activision,Torus Games,,,,,0.03m,0.01m,,0.00m,0.04m,12th Nov 02,,Action
18322,Blade StrangersRead the review,NS,Nicalis,Studio Saizensen,7.0,8.3,,,0.03m,,,0.00m,0.04m,28th Aug 18,28th Jul 18,Fighting
18323,Monster Hunter Frontier Online: Season 9.0,X360,Capcom,Capcom,,,,,,,0.04m,,0.04m,29th Sep 10,,Role-Playing
18324,C.O.R.E.,DS,Graffiti,NoWay Studio,,4.4,,,0.03m,,,0.00m,0.04m,11th Aug 09,,Shooter
18325,Garfield: The Search for Pooky,GBA,Game Factory,InterActive Vision Games,,,,,0.03m,0.01m,,0.00m,0.04m,14th Nov 05,,Platform
18326,Galaxy Fight,SAT,Sunsoft,Santaclaus,,,,,,,0.04m,0.00m,0.04m,03rd Jul 96,,Fighting
18327,Chaos Wars,PS2,O~3 Entertainment,Idea Factory,,6.8,,,,,0.04m,,0.04m,03rd Jun 08,,Strategy
18328,FIFA 19,PS3,Electronic Arts,EA Sports,,,,,,0.03m,,0.01m,0.04m,28th Sep 18,12th Sep 18,Sports
18329,Logic Machines,DS,City Interactive,City Interactive,,,,,0.03m,0.00m,,0.00m,0.04m,13th Oct 10,,Puzzle
18330,A Good Librarian Like a Good Shepherd: Library Party,PSV,Kaga Create,August,,,,,,,0.04m,,0.04m,12th Feb 15,30th Aug 18,Action
18331,Steambot Chronicles,PS2,Atlus,Irem Software Engineering,,7.2,,,0.02m,0.01m,,0.00m,0.04m,23rd May 06,,Role-Playing
18332,Persona 3: Dancing in Moonlight,PS4,Atlus,Atlus,,,,,0.02m,,0.01m,0.01m,0.04m,04th Dec 18,13th Aug 18,Music
18333,Bond of Ten Demons,PSP,Idea Factory,Idea Factory,,,,,,,0.04m,,0.04m,19th Jul 12,26th Apr 19,Visual Novel
18334,Mr. Driller,PS,Namco,Namco,,,,,0.02m,0.01m,,0.00m,0.04m,09th May 00,,Puzzle
18335,Norn9: Norn + Nonette,PSP,Idea Factory,Regista,,,,,,,0.04m,,0.04m,30th May 13,26th Apr 19,Visual Novel
18336,Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,DS,D3 Publisher,Tomcat System,,,,,,,0.04m,,0.04m,31st May 07,,Adventure
18337,Shadow Tactics: Blades of the Shogun,PS4,Kalypso Media,Mimimi Productions,,,,,0.02m,0.01m,,0.01m,0.04m,01st Aug 17,15th Sep 18,Strategy
18338,Gumby vs. the Astrobots,GBA,Namco,Torus Games,,,,,0.03m,0.01m,,0.00m,0.04m,09th Aug 05,,Action
18339,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki,PS2,D3 Publisher,Bisty,,,,,,,0.04m,,0.04m,18th Dec 08,,Misc
18340,Scaler,GC,Global Star Software,Artificial Mind & Movement,,7.3,,,0.03m,0.01m,,0.00m,0.04m,17th Nov 04,,Platform
18341,Chaos;Head Noah,X360,5pb,Genterprise,,,,,,,0.04m,,0.04m,26th Feb 09,,Adventure
18342,The PersistenceRead the review,PS4,Sony Interactive Entertainment,Firesprite,7.0,,,,,0.03m,,0.01m,0.04m,24th Jul 18,24th Sep 18,Action-Adventure
18343,Tears to Tiara Gaiden: Avalon no Nazo,PS3,Aquaplus,Aquaplus,,,,,,,0.04m,,0.04m,17th Sep 09,,Strategy
18344,LegasistaRead the review,PS3,NIS America,System Prisma,8.0,,,,,,0.04m,,0.04m,21st Aug 12,26th Apr 19,Role-Playing
18345,Gudetama: Hanjuku de Tanomuwa,3DS,Rocket Company,Rocket Company,,,,,,,0.04m,,0.04m,03rd Dec 15,26th Jul 18,Action
18346,Napoleon Dynamite: The Game,PSP,Crave Entertainment,7 Studios,,4.3,,,0.03m,,,0.00m,0.04m,23rd Oct 07,,Puzzle
18347,Breath of Fire III,PSP,Capcom,Capcom,,6.0,,,0.00m,0.03m,,0.01m,0.04m,09th Feb 16,,Role-Playing
18348,Fatal Fury: Battle Archives Volume 1,PS2,SNK Playmore,SNK Playmore Corporation,,,,,0.02m,0.01m,,0.00m,0.04m,14th Aug 07,,Fighting
18349,Psycho-Pass: Mandatory Happiness,PSV,NIS America,5pb. Inc.,,,,,,0.01m,0.02m,0.00m,0.04m,13th Sep 16,03rd Jul 18,Visual Novel
18350,Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,PSP,KOEI,Koei,,,,,,,0.04m,,0.04m,22nd Oct 09,,Adventure
18351,Darkest Dungeon,PS4,Red Hook Studios,Red Hook Studios,,,,,0.02m,,0.01m,0.01m,0.04m,24th Apr 18,31st Jan 18,Role-Playing
18352,Rhapsody: A Musical Adventure,PS,Atlus,Nippon Ichi Software,,6.7,,,0.02m,0.01m,,0.00m,0.04m,30th Mar 00,,Role-Playing
18353,Rose to Tasogare no Kojou,PSV,Nippon Ichi Software,Nippon Ichi Software,,,,,,,0.04m,,0.04m,26th Apr 16,22nd Sep 18,Action
18354,Music Maker: Rockstar,PS2,Magix,Magix,,,,,0.02m,0.01m,,0.00m,0.04m,07th Aug 09,,Misc
18355,Formula 1 06,PS2,Sony Computer Entertainment,Studio Liverpool,,,,,,,0.04m,,0.04m,28th Jul 06,,Racing
18356,"Minna de Jibun no Setsumeisho: B-Kata, A-Kata, AB-Kata, O-Kata",DS,GungHo,GungHo Works,,,,,,,0.04m,,0.04m,30th Dec 08,,Misc
18357,Smashing Drive,XB,Namco,Point of View,,,,,0.03m,0.01m,,0.00m,0.04m,13th May 02,,Racing
18358,Without Warning,PS2,Capcom,CiRCLE Studio,,,,,0.02m,0.01m,,0.00m,0.04m,01st Nov 05,,Shooter
18359,Fighting Vipers 2,DC,Sega,Sega-AM2,,,,,,,0.04m,0.00m,0.04m,01st Jan 01,,Fighting
18360,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,XB,Konami,Konami,,,,,0.03m,0.01m,,0.00m,0.04m,01st Nov 05,,Action
18361,Ebikore Photo Kano Kiss,PSV,Kadokawa Games,Dingo Inc.,,,,,,,0.04m,,0.04m,05th Feb 15,26th Apr 19,Simulation
18362,Beatdown: Fists of Vengeance,XB,Capcom,Cavia Inc.,,,,,0.03m,0.01m,,0.00m,0.04m,23rd Aug 05,,Action
18363,Teenage Zombies: Invasion of the Alien Brain Thingys,DS,Ignition Entertainment,InLight Entertainment,,,,,0.03m,0.00m,,0.00m,0.04m,15th Apr 08,,Adventure
